,Gradient Boosting Trees DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,Gradient Boosting Trees T Learner,Gradient Boosting Trees S Learner,Gradient Boosting Trees X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,0.06769678706011864,0.08283026036122487,0.07565476214367493,0.08399470686823014,0.07300748866979334,0.08253969972930408,0.08485912573318319,0.06650695093163524,0.07192801425948576,0.07765900263135558,0.07352525989819447,0.1198000402850111,0.08289030571339921
1,0.07897458230368203,0.070526774667396,0.07258108457921952,0.07823484430235118,0.0713976501615507,0.0740892144799857,0.081033922875453,0.057492074663965685,0.07958861982349111,0.06571952468632222,0.07339861951258869,0.11879319031990493,0.08258897028615711
2,0.08631790435594601,0.07074437631470597,0.0756186052988533,0.08063849939223863,0.07271603253685567,0.07941363713442522,0.0820878787832812,0.06184361405726682,0.07551383075098851,0.07789514643273811,0.07679884368491749,0.12000611280246097,0.07835509882170316
3,0.07241102057552658,0.0731348777843495,0.06829660491625926,0.07183275641935633,0.0645924584920915,0.07051818899043866,0.08035202509045476,0.062031202833810195,0.07564638383011092,0.07261432634311027,0.07051308160856586,0.10581729165465753,0.07214179274525183
4,0.08382233702846534,0.06869496784442265,0.07028502640602098,0.07694698931913797,0.06856711233086213,0.07598028275698045,0.08529042856343642,0.06623257882540917,0.08382270992230344,0.08318691481519183,0.07142647998782425,0.11277892541401757,0.07730026056506553
5,0.0703825038858517,0.0626160361308875,0.0654506563196208,0.06951964466622515,0.06506386794939922,0.06824959643392389,0.07626772715623074,0.05554635712837535,0.07104667503647806,0.07242145162906367,0.06516217083568863,0.11460901231039188,0.06987290067409467
6,0.06516519174696049,0.07039311444510488,0.07642661390686771,0.07845180027842258,0.07342948752009737,0.07743260648122316,0.07942746324716694,0.06125470433371653,0.0756511064941389,0.06942692747937634,0.07094702710644195,0.11365882591609952,0.07963164963697983
7,0.06992002456211761,0.06314272360443518,0.07297124731951328,0.0749644082359557,0.06910999663885045,0.0739323728299363,0.08375247900096996,0.061836312998726314,0.08067222316800947,0.07763278301031497,0.06794626928092513,0.10229678809651285,0.0743227141934134
8,0.06737590141370756,0.07119312033216828,0.07666260403451985,0.0788864238868757,0.07348477906111306,0.07736008864016498,0.08392983459754791,0.05772984192318078,0.07921347160530312,0.0648991709270238,0.07095988308970058,0.1222546662384321,0.07970856425133278
9,0.07154105876962268,0.06787172253883739,0.08335721689997634,0.08060012435865146,0.07626440315989012,0.07786179874373582,0.08219180692476387,0.058360531285274464,0.07291611715025519,0.07393891213453496,0.07620947777628759,0.12125256560599498,0.0856318512197315
