,Gradient Boosting Trees DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,Gradient Boosting Trees T Learner,Gradient Boosting Trees S Learner,Gradient Boosting Trees X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,3.3934432258374816,3.466290504009843,3.4239742193118192,3.409674887693238,3.401309853232867,3.4094127438273176,3.5963071935457918,3.35332847120689,3.6475595476563223,3.476901264278261,3.494257313626592,3.4572136777042974,3.409097496630653
1,3.235988615125754,3.348577977356069,3.3500542182885966,3.3443069551940945,3.340586043303326,3.343434245477796,3.5086092882442927,3.264121076686167,3.562228806941657,3.4430056081175318,3.423600148753339,3.480158883759781,3.3502986114785838
2,3.420188466026546,3.45968286498286,3.4022574862045687,3.458922819666993,3.452481413718061,3.4594249246072044,3.581667092550082,3.2538516969482125,3.586215849892036,3.4932695366465043,3.476112939051113,3.384885016856941,3.4597949754171817
3,3.184668593882817,3.2836814684124906,3.2910205275379014,3.2933850748759377,3.2887555839781872,3.2931453491969145,3.4141006497243436,3.125720341618011,3.397611614315387,3.3554336663131497,3.2968146590438625,3.346228963216904,3.2961283507689307
4,3.3861995292438984,3.39503585022719,3.489238432749735,3.4496633936037004,3.4470723575097537,3.4498601160355147,3.455657050130322,3.2014706014034764,3.4306319848241307,3.448431065512951,3.4537694649558874,3.450674076036113,3.4555652346735166
5,2.9930070049105337,2.99917589659599,2.9919445586503635,2.997464139570595,2.9915462142356692,2.9975711653784383,3.2400978884664635,2.8853988759017026,3.342425416790819,3.09864904783747,3.0767792413538237,2.9780833918073983,2.997537717908279
6,3.485124214770024,3.593216865655685,3.555033210586269,3.565625680108501,3.5565336739968387,3.5652783227744975,3.695999657120556,3.3904312128689407,3.7336606504748726,3.682428092455206,3.583729932033809,3.690841948239395,3.5714646800526144
7,3.5124839630613676,3.5296421944421326,3.552566536115215,3.5280850703057207,3.5221671104467234,3.528111729904289,3.680583727535861,3.418665978970252,3.736065511618101,3.5525012862429364,3.5608402418214546,3.4560839907249115,3.5287237983655406
8,3.0106051543265537,3.1863008709193754,3.206398343642763,3.1964984313285534,3.190613424824192,3.196500090565449,3.141357221865549,2.862155458709143,3.1120557345005753,3.1427894284956834,3.1254569307570153,3.0343212448085244,3.1967733597687067
9,3.1971135050354125,3.4551486938315916,3.390916026600078,3.3997800913656646,3.39119739025723,3.3993934215086465,3.463340835183375,3.0896411589804775,3.4705156661268335,3.472598078875079,3.459188580252478,3.4426198659838865,3.403783729468525
