,NonParametric DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,NonParametric T Learner,NonParametric S Learner,NonParametric X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,0.0051249030644777704,-0.04326914924592984,-0.026146668066858725,-0.03584229493832258,-0.062000063290017504,-0.0358918622113491,0.13227878100725987,-0.13792181168842954,0.18156471365847615,0.013676111755038356,-0.008363201063084746,-0.00756801644001448,-0.03605768730233283
1,-0.1697712999332881,-0.013824467294540677,0.06936368159674955,-0.012218897040438215,-0.03716222575866235,-0.014047290731905804,-0.019735549020154286,-0.3956394608476643,-0.05694010231251534,-0.007165983686572286,-0.03814224129556232,0.15491537521478405,-0.0008886788474542495
2,0.06202664877850106,0.250132342421729,0.18119104245776874,0.23269189989090955,0.20185578084421962,0.23304538473798453,0.19819288959668335,0.03955087473418506,0.20915699502155816,0.2863433396392723,0.19858746309796205,0.1535895870853694,0.233658975782584
3,-0.7428434709683133,-0.2461512904530645,-0.2774080715376448,-0.2719784395151488,-0.2918454877986125,-0.2727107618112192,-0.22330238857327278,-0.47998632408017095,-0.23724206508720003,-0.17910123437374903,-0.40086120416878557,-0.20529706916075985,-0.2709007782341373
4,0.10000332872896966,0.11627867386238622,0.16560764686133633,0.14228759368439103,0.11433760025431283,0.14171599373714572,0.15929377402279554,-0.12021291536049006,0.09164187932117707,0.1840056919783306,0.11824756462950403,0.21066537881252945,0.14079889098280352
5,-0.40571405203626554,-0.5269163824034029,-0.5203269730101311,-0.5100226158734429,-0.5256413261200868,-0.5097669947400367,-0.4474118766828544,-0.5887482652836117,-0.3907470075726315,-0.39942127333200594,-0.4065483849204823,-0.5416395998805196,-0.5093345860567206
6,0.22603560455699534,0.24337229365542767,0.20782250757988852,0.21449594354290635,0.1828817336155204,0.2131681586756653,0.2722101557666774,0.1191471018506578,0.31233122724047613,0.32955886814181246,0.21564689101968937,0.3059303269236566,0.22304743280914097
7,0.11440983014368111,0.23339081085549052,0.2283088341646866,0.19294084503579922,0.16402569789993193,0.19292953874058605,0.11953639473405131,-0.10428545679204526,0.042882115389658804,0.18436597605159144,0.1683486417303346,0.20194812822761232,0.19316176173241084
8,-0.3683618296453526,-0.24679302894210342,-0.17212627264512492,-0.19903470511445898,-0.2203859745428236,-0.19899655567611263,-0.27920055056680315,-0.5817137488280658,-0.2963697200183508,-0.2850285853976251,-0.3145983338879603,-0.3811796597421392,-0.1985067228757471
9,-0.005888938210956374,0.2260423240637155,0.12267284708099346,0.13019232764573285,0.1024959800143681,0.1295825670514832,0.1463824958016975,0.011202004350904238,0.1422685083338069,0.16381713630419137,0.11853176859542658,0.14696961185421076,0.1345711017482949
10,0.3462808535454802,0.2666628301223728,0.37728440813550845,0.34655709270630775,0.31359764643794463,0.346207049209996,0.3938730857699084,0.16536827175202307,0.440778182741973,0.2980385469752376,0.40221404100446856,0.39634823683602183,0.3468983592491297
11,-0.03068450291671443,0.2598313850817826,0.2234743785928226,0.22033486704729777,0.18507219288864785,0.2197213243287668,0.16909200631457533,0.008315062485842573,0.1275003364960854,0.18014958323982855,0.23885193259871929,0.3081618988475614,0.2217711473651911
12,-0.2619967902767877,-0.25222512783786266,-0.2598701119246063,-0.25872079374353185,-0.2810582760675848,-0.25994195387893493,-0.27757679071355046,-0.41244301549304596,-0.257831717994107,-0.27489873692283195,-0.3456423744724779,-0.14997981211137024,-0.2510060357681354
13,0.10334602031710571,-0.0145935590584223,0.020275275437551477,0.007107156948734872,-0.017983508423820682,0.006107245296951058,0.08614954813595421,-0.21907912394668627,0.12202411675444358,-0.004990500392175301,0.025091570790937157,0.08489881050960002,0.01726066692690109
14,-0.7391428879662842,-0.3734607029977033,-0.3071452831796455,-0.36257851980736244,-0.3812090347097996,-0.36321791504243184,-0.3184668806908364,-0.6053452245707024,-0.2854000173734954,-0.3585288314225856,-0.3146933086586644,-0.27972798916012453,-0.36039575136919744
15,0.3080649372196702,0.6288589810528542,0.5496345262494455,0.5767867060037584,0.5340289542456629,0.5763766068376472,0.6190253414032003,0.4440157635338906,0.5454178341636384,0.6820715002827511,0.5514441847182947,0.6257482797131209,0.573999970555785
16,-0.11606070328699047,0.039727955123036285,0.00699616687537441,0.034050157067303743,0.006147271453123215,0.03342398229183474,-0.08880583312507717,-0.3048015080558175,-0.1688518902739935,-0.0028826523684546412,-0.0024876549128061143,0.08071857224668699,0.03390110881148822
17,-0.3163283104653626,-0.005584106483021545,-0.03956453164965934,-0.043251235417007816,-0.06952796194552513,-0.04352382027034296,-0.04530314495341847,-0.16003727634101272,0.01658521054570561,-0.0029379670735469876,-0.03589095989523883,0.015525514619855851,-0.04302008328624973
18,0.1514933234118898,0.02140079467209821,0.02593787882690779,0.014275358662320548,-0.013510210751839669,0.013824325960180461,0.060852069811685894,-0.1930039074072698,0.09393201611432045,0.029610931207593172,0.11697573426440822,0.09767496310853963,0.01521518801962074
19,0.13921004114803925,0.24090414937498972,0.32746162136691903,0.353329765370076,0.3167788337021036,0.3522696925916693,0.41862725278173496,0.14064020238876318,0.41373497204065646,0.397526491035332,0.27335489079225805,0.4425000910299022,0.35093131355965523
