,NonParametric DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,NonParametric T Learner,NonParametric S Learner,NonParametric X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,-0.023293432218711288,0.5960741919057683,0.6383867981086584,0.5711639065894574,0.5604564352836405,0.5649772003695993,0.8892999744949879,0.29666342975979837,0.4523321530872366,0.49348020009583404,0.7487346300422679,2.888401004255321,0.637828612774401
1,0.8698623591428886,0.4816662720906103,0.6998449629420257,0.6190183637723977,0.7399468653315893,0.6655344140978624,0.649047400807564,0.16488653156346958,0.3588206670026285,0.47956100539792634,0.8095348389923838,2.9636455095469234,0.6306462900418212
2,0.36934360842015906,0.4915626265373092,0.5192029210301532,0.548128697653697,0.6062386920422682,0.5683488150714094,0.6447456982960745,0.20619319187245327,0.436745593527228,0.5643836701935815,0.7679446675174081,2.79242490872781,0.5115215518301977
3,0.7313956960972878,0.46737762279662237,0.5577755469502286,0.5084478806085401,0.6344752088471353,0.5589492035743311,0.6909524891938799,0.2280258185541359,0.5285168383683282,0.18655939460063195,0.8308686156279773,2.7446926664495113,0.4961311007590101
4,0.7437918137014827,0.5053553685383845,0.8767358916425474,0.7045761116756951,0.8204601907260667,0.7479701760255971,0.9056227178915498,0.2909721610915385,0.5553489091422849,0.6865230907003994,0.8421049739754473,3.0541204918789844,0.7314119577743768
5,0.7542955475803904,0.41418048778670585,0.336701065004203,0.4138628176176691,0.5346350833756048,0.4584901146159648,0.7152444875663523,0.1628965386678742,0.42485853505475846,0.45917786976264935,0.6684673596953273,2.769932199999999,0.4140971068935495
6,0.5888077830017724,0.3722397919798118,0.5074500255661631,0.6047065377143026,0.6996508634735505,0.6369131789573256,0.7451431191442975,0.30483977670723916,0.5963600368315944,0.4411177228659449,0.8392344353306641,2.9525059507288556,0.5294109075359715
7,0.22946579586012367,0.31844685237464415,0.6519301062818967,0.5601908406524252,0.7611653228002098,0.5405026364668506,0.6802638258679394,0.1804428547923686,0.45070933793167434,0.5978515066891431,0.645612309255833,2.4091197419881287,0.4773426618864114
8,-0.19599602812760583,0.5397161843764859,0.7439192394861759,0.7097527872527488,0.7878170784485263,0.7394823312666243,0.7435237264000085,0.3227742332069631,0.46479704696704777,0.2853630497706671,0.6725516182556207,2.7067582031250033,0.7312149058954233
9,0.15637348127552075,0.5767818448027339,0.5808964001249851,0.6367280247608139,0.7335000985117404,0.6757286100044045,0.8822239403100398,0.2520764552544514,0.5940272639329814,0.34621630208708315,0.7689212712615635,2.7806659628726287,0.6210603263984534
10,0.654190927513692,0.4110693502846965,0.5385520778997452,0.5095291973608708,0.5499380275358305,0.5281813044370978,0.7933818152235685,0.25839974989243525,0.48033566748753465,0.5817975475150342,0.7948787374438127,2.9181753475649383,0.4434086718142521
11,0.6460402054601545,0.6051486872786082,0.8216986814348484,0.6897879756454083,0.8094545105212205,0.7372490268175793,0.8701496178350167,0.31678639902702826,0.5983420141016559,0.6936688126277665,0.8773781439490168,2.5002530761560684,0.6881522603264706
12,0.020763532776664727,0.4784715885475851,0.5973052226774125,0.5312547867275094,0.5885785819547067,0.5537559713146755,0.5785749261889653,0.14664297553334008,0.43938862005837614,0.13147955143477358,0.7424562326389322,2.917962814451834,0.5302095182161232
13,0.37142462937710047,0.36490258079174254,0.26464169799831416,0.34127388181860624,0.4673708339204268,0.39547452844294073,0.765007937588553,0.1966379395424005,0.5093730594829672,0.5038052729255883,0.6726070132839299,2.5523396444785242,0.3298036607500791
14,0.3021011426805495,0.4618447686894893,0.5072616613234532,0.5588550298694354,0.6066742044899343,0.5734541356796555,0.7378144979867053,0.1866087933990113,0.5176321515275563,0.33703045581105084,0.7136119437721903,2.647054075428572,0.574478110877254
15,0.3432923010611274,0.5408234798941726,0.693355110904057,0.6834402508501437,0.7130755734202836,0.6928774602248874,0.8338855192890509,0.2415519244015032,0.49030065386116234,0.31059764297858977,0.7982194058457299,2.7369957227192954,0.6963845589308496
16,0.2850421703277895,0.49554337836240436,0.307666803049402,0.2853998096650937,0.2974520822145337,0.288609243167952,0.592196089469606,0.1995581721688827,0.4341762355600852,0.4042079043768627,0.45508638013462055,1.83590214367647,0.2439149273227119
17,0.6432431803101042,0.6164696420848196,0.49127765238003057,0.5602192511377447,0.6424420075626074,0.5919865441217514,0.8163766910518684,0.2595969301861039,0.477855301079456,0.29562835342020594,0.8453711732881826,2.8695437248427673,0.5198334396197862
18,0.2689333591119606,0.35734347671462635,0.5319019375219649,0.5031953541187892,0.5655800771546922,0.5273303896307563,0.6645779001260794,0.2541444961786083,0.32442272612440665,0.5294034740830184,0.6707122018322884,2.632899253550296,0.5571616356914153
19,0.8103730147515119,0.4293173704879237,0.6811117490660431,0.5806959663889221,0.7454768851047932,0.6458361213166736,0.6539512494591054,0.22581115983456188,0.3265955455781658,0.6834575923881515,0.8554289573919257,3.087879263559323,0.5978846936396608
