,Gradient Boosting Trees DML,Linear DML,Doubly Robust (Linear),Linear T Learner,Linear S Learner,Linear X Learner,Gradient Boosting Trees T Learner,Gradient Boosting Trees S Learner,Gradient Boosting Trees X Learner,Causal BART,Causal Forest,Propensity Score Matching,TMLE
0,1.5594795624539133,1.6602351667949997,1.5255417749982352,1.52350421755783,1.4923575833321583,1.5226130709672183,1.5058761267368468,1.3596006968796612,1.449865710340303,1.6026495107956569,1.4950015616760526,1.5962552181453655,1.5232635729522368
1,1.193495102484374,1.6943388629889795,1.657252623778147,1.6935107460532137,1.6552256982157518,1.692058402473158,1.6293099902080914,1.3030671405223615,1.5834104837714547,1.6526374469514418,1.4809942670695637,1.8247665033642557,1.6910069264848553
2,1.0168917208630757,1.0959082359799897,1.1047103699310687,1.1067544208170679,1.0854920402536337,1.1060422713466347,1.0566526922944117,0.7608959785112666,1.095184868512376,1.144700604110761,1.09885394774371,1.191958260109348,1.1096734944288782
3,1.2241715936874134,1.2342021371302516,1.2601585809876308,1.264472275749957,1.2394546842244407,1.2639397186053862,1.091485887146191,0.8210144203686116,1.0633357692376049,1.175070251074987,1.0879635500350768,1.3398830706779141,1.2661251825456903
4,1.0176272348130908,1.3497517168513495,1.3021756685421568,1.2805453978865207,1.2567198718840726,1.279881630664048,1.1228935531913475,1.0383457846987751,1.1023014397673518,1.2994800065669596,1.2393741268977805,1.346223666455208,1.280507824913418
5,0.7425795895043582,0.7928181755309451,0.8101006565854381,0.8045726905076847,0.7890748451671532,0.8036173797362077,0.8482209034650489,0.6425985303820578,0.8446134873060417,0.878089871844378,0.9191137664452282,0.9768570273004281,0.8005924799822128
6,1.1767858174749668,1.0655021413468089,1.0836054252399958,1.0780107293816992,1.0563025703932536,1.0776180810060505,1.0803929860056811,0.9657518448976486,1.132854017072695,1.108741621196102,1.1440178358316822,1.1268340477868115,1.0787178546478045
7,0.8636822530747343,1.5965230098744667,1.4862359606345577,1.470375392626735,1.439454146213215,1.470151246099369,1.5170260602977301,1.2725150765742679,1.5224573406529234,1.5839123130801276,1.5179077285041378,1.5059543701646918,1.4695093916868909
8,1.2515142251105786,1.241711276659332,1.2474460277519515,1.2450587822525188,1.2227010237408957,1.2444680553711727,1.238358045078995,1.0824358223849013,1.2605859692655965,1.3517422676375448,1.3393391189264532,1.3197414327091175,1.2481377649773562
9,1.4475383646416553,1.60803164987981,1.5377096843559215,1.5257486563902234,1.4970131822875037,1.5251261389756652,1.3180714561885982,1.3059447655655192,1.2556319214277996,1.4835856673101917,1.5312097486573253,1.5946087733449137,1.5276946721042841
